"sg_uf";"cd_municipio";"nm_municipio";"nr_zona";"nr_secao";"qt_votos_presidente";"qt_votos_pre_22";"qt_votos_pre_13";"qt_votos_pre_outros";"qt_votos_governador";"url_tse"
"AC";"1074";"CRUZEIRO DO SUL";"4";"154";"206";"136";"49";"21";"204";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1074;zn=4;se=154/dados-de-urna/boletim-de-urna"
"AC";"1112";"EPITACIOLÂNDIA";"6";"51";"216";"127";"62";"27";"215";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1112;zn=6;se=51/dados-de-urna/boletim-de-urna"
"AC";"1473";"TARAUACÁ";"5";"5";"201";"94";"84";"23";"200";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1473;zn=5;se=5/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"438";"291";"161";"85";"45";"275";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=438/dados-de-urna/boletim-de-urna"
"AC";"1074";"CRUZEIRO DO SUL";"4";"112";"142";"91";"31";"20";"141";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1074;zn=4;se=112/dados-de-urna/boletim-de-urna"
"AC";"1473";"TARAUACÁ";"5";"133";"103";"44";"49";"10";"102";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1473;zn=5;se=133/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"405";"287";"169";"77";"41";"266";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=405/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"377";"258";"150";"70";"38";"257";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=377/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"264";"293";"167";"84";"42";"273";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=264/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"446";"326";"157";"120";"49";"305";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=446/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"213";"220";"130";"59";"31";"219";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=213/dados-de-urna/boletim-de-urna"
"AC";"1511";"PLÁCIDO DE CASTRO";"8";"43";"167";"113";"38";"16";"166";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1511;zn=8;se=43/dados-de-urna/boletim-de-urna"
"AC";"1112";"EPITACIOLÂNDIA";"6";"60";"247";"178";"53";"16";"246";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1112;zn=6;se=60/dados-de-urna/boletim-de-urna"
"AC";"1112";"EPITACIOLÂNDIA";"6";"46";"227";"153";"56";"18";"226";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1112;zn=6;se=46/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"1";"172";"307";"157";"120";"30";"227";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=1;se=172/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"409";"281";"127";"118";"36";"262";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=409/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"9";"286";"264";"138";"89";"37";"247";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=9;se=286/dados-de-urna/boletim-de-urna"
"AC";"1392";"RIO BRANCO";"1";"278";"320";"192";"86";"42";"242";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AC;ufbu=AC;mubu=1392;zn=1;se=278/dados-de-urna/boletim-de-urna"
"AL";"28479";"PORTO DE PEDRAS";"12";"187";"297";"131";"146";"20";"296";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28479;zn=12;se=187/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"392";"321";"135";"129";"57";"313";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=392/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"379";"323";"146";"129";"48";"316";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=379/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"359";"295";"156";"109";"30";"283";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=359/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"4";"375";"180";"134";"61";"373";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=4/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"400";"361";"193";"131";"37";"354";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=400/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"525";"151";"66";"64";"21";"128";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=525/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"282";"286";"133";"120";"33";"241";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=282/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"209";"404";"202";"150";"52";"383";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=209/dados-de-urna/boletim-de-urna"
"AL";"28118";"NOVO LINO";"53";"134";"267";"110";"116";"41";"255";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28118;zn=53;se=134/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"81";"287";"145";"95";"47";"281";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=81/dados-de-urna/boletim-de-urna"
"AL";"28436";"POÇO DAS TRINCHEIRAS";"50";"19";"238";"30";"186";"22";"237";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28436;zn=50;se=19/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"432";"263";"114";"103";"46";"261";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=432/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"409";"340";"160";"140";"40";"333";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=409/dados-de-urna/boletim-de-urna"
"AL";"27014";"ÁGUA BRANCA";"39";"120";"250";"26";"217";"7";"249";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27014;zn=39;se=120/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"65";"214";"102";"74";"38";"212";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=65/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"237";"339";"154";"155";"30";"338";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=237/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"33";"213";"343";"142";"145";"56";"340";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=33;se=213/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"514";"393";"161";"180";"52";"392";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=514/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"33";"309";"305";"122";"142";"41";"300";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=33;se=309/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"269";"394";"181";"143";"70";"393";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=269/dados-de-urna/boletim-de-urna"
"AL";"27570";"GIRAU DO PONCIANO";"44";"176";"48";"6";"39";"3";"41";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27570;zn=44;se=176/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"283";"278";"124";"127";"27";"277";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=283/dados-de-urna/boletim-de-urna"
"AL";"27057";"ARAPIRACA";"22";"49";"313";"141";"140";"32";"309";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27057;zn=22;se=49/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"311";"410";"198";"156";"56";"390";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=311/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"169";"297";"134";"126";"37";"291";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=169/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"33";"307";"355";"148";"154";"53";"354";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=33;se=307/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"519";"366";"144";"168";"54";"362";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=519/dados-de-urna/boletim-de-urna"
"AL";"28657";"SÃO JOSÉ DA LAJE";"16";"62";"281";"118";"133";"30";"274";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28657;zn=16;se=62/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"389";"327";"180";"112";"35";"323";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=389/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"136";"336";"180";"105";"51";"329";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=136/dados-de-urna/boletim-de-urna"
"AL";"28690";"SÃO LUÍS DO QUITUNDE";"17";"177";"121";"51";"62";"8";"118";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28690;zn=17;se=177/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"375";"272";"118";"111";"43";"271";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=375/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"518";"370";"161";"166";"43";"365";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=518/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"499";"403";"172";"192";"39";"402";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=499/dados-de-urna/boletim-de-urna"
"AL";"27952";"MARIBONDO";"48";"152";"280";"90";"160";"30";"279";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27952;zn=48;se=152/dados-de-urna/boletim-de-urna"
"AL";"27057";"ARAPIRACA";"22";"514";"336";"149";"147";"40";"335";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27057;zn=22;se=514/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"211";"383";"173";"159";"51";"381";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=211/dados-de-urna/boletim-de-urna"
"AL";"28339";"PENEDO";"13";"100";"262";"82";"156";"24";"261";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28339;zn=13;se=100/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"436";"398";"202";"138";"58";"393";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=436/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"10";"311";"152";"116";"43";"301";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=10/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"255";"365";"185";"124";"56";"357";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=255/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"69";"213";"111";"84";"18";"212";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=69/dados-de-urna/boletim-de-urna"
"AL";"27596";"IBATEGUARA";"16";"4";"302";"102";"166";"34";"299";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27596;zn=16;se=4/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"33";"310";"293";"132";"126";"35";"285";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=33;se=310/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"183";"342";"193";"111";"38";"337";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=183/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"409";"320";"146";"128";"46";"311";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=409/dados-de-urna/boletim-de-urna"
"AL";"28452";"PORTO CALVO";"14";"46";"271";"131";"115";"25";"270";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28452;zn=14;se=46/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"223";"297";"159";"102";"36";"276";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=223/dados-de-urna/boletim-de-urna"
"AL";"27057";"ARAPIRACA";"22";"343";"338";"176";"134";"28";"336";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27057;zn=22;se=343/dados-de-urna/boletim-de-urna"
"AL";"27537";"FELIZ DESERTO";"7";"142";"242";"68";"142";"32";"241";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27537;zn=7;se=142/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"61";"272";"125";"110";"37";"271";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=61/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"33";"291";"283";"124";"107";"52";"281";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=33;se=291/dados-de-urna/boletim-de-urna"
"AL";"27251";"CAJUEIRO";"5";"128";"271";"95";"146";"30";"270";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27251;zn=5;se=128/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"491";"102";"19";"71";"12";"93";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=491/dados-de-urna/boletim-de-urna"
"AL";"28010";"MATRIZ DE CAMARAGIBE";"12";"195";"297";"145";"128";"24";"296";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28010;zn=12;se=195/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"180";"362";"207";"108";"47";"355";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=180/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"142";"328";"189";"96";"43";"324";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=142/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"41";"361";"170";"139";"52";"356";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=41/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"52";"262";"121";"106";"35";"261";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=52/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"248";"353";"197";"109";"47";"347";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=248/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"197";"215";"105";"86";"24";"213";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=197/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"103";"265";"133";"94";"38";"264";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=103/dados-de-urna/boletim-de-urna"
"AL";"27057";"ARAPIRACA";"22";"546";"328";"162";"136";"30";"326";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27057;zn=22;se=546/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"3";"110";"289";"146";"96";"47";"285";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=3;se=110/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"104";"329";"169";"113";"47";"324";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=104/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"408";"326";"156";"131";"39";"316";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=408/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"2";"139";"330";"192";"99";"39";"324";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=2;se=139/dados-de-urna/boletim-de-urna"
"AL";"27855";"MACEIÓ";"54";"149";"374";"164";"162";"48";"370";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=27855;zn=54;se=149/dados-de-urna/boletim-de-urna"
"AL";"28711";"SÃO MIGUEL DOS CAMPOS";"18";"91";"195";"96";"81";"18";"194";"https://resultados.tse.jus.br/oficial/app/index.html#/eleicao;e=e544;uf=AL;ufbu=AL;mubu=28711;zn=18;se=91/dados-de-urna/boletim-de-urna"
